Summary of the properties of the SDSS/DR16 quasars included in the classification. 
We list: 
1. the quasar name in the SDSS convention
2. the right ascension (deg.)
3. the declination (deg.) 
4. the quasar redshift from the SDSS pipeline 
5. the S/N measured at 1150A in the quasar rest-frame
6. a flag indicating if the quasar is a ``Science Primary" observation (Y or N)
7. a flag indicating if the quasar is included in the training set (Y or N)
8. a flag describing the outcome of the classification (1: quasar with LLS; 2: quasar without LLS; 4: non quasar)
9. the measured redshift of the LLS. 

--
1                     2         3          4      5   6 7 8 9
spec-10260-58173-0871 178.89499 36.2991980 3.544  5.1 Y Y 2 0.000
spec-10261-58462-0675 176.63834 33.7343650 3.687  4.7 N Y 2 0.000
spec-10262-58543-0142 175.49234 33.5672460 3.828  1.8 N Y 2 0.000
spec-10262-58543-0470 173.63786 33.1996190 3.962  0.9 Y Y 1 3.934
spec-10262-58543-0506 173.68201 34.8813060 3.858  1.8 Y Y 1 3.868
spec-10262-58543-0668 174.29811 34.3066650 3.593 13.3 Y Y 1 3.561
spec-10262-58543-0796 174.76299 33.9174180 3.947 29.5 Y Y 1 3.419
spec-10263-58464-0590 171.06219 34.5102940 3.913 10.7 Y Y 1 3.876
spec-10264-58162-0266 172.50096 34.7738870 3.602 32.0 Y Y 2 0.000
spec-10265-58512-0554 168.27253 34.8680530 3.651  6.3 Y Y 1 3.545
spec-10265-58512-0781 170.13704 35.3257830 3.790  0.0 Y Y 4 0.000
spec-10265-58512-0922 170.50312 34.4301250 3.890  5.4 Y Y 1 3.827
spec-10265-58512-0989 171.06219 34.5102940 3.911  6.1 N Y 1 3.889
spec-10266-58462-0210 167.22417 32.9293790 3.561  6.0 Y Y 2 0.000
spec-10266-58462-0544 165.59769 34.2763770 3.651  8.0 Y Y 1 3.394
spec-10267-58223-0060 168.27253 34.8680530 3.651  4.1 N Y 1 3.561
spec-10267-58223-0113 167.83156 35.4281050 3.854  4.3 Y Y 1 3.482
spec-10267-58223-0124 167.68861 34.5552220 3.528 16.2 Y Y 2 0.000
spec-10267-58223-0474 165.89845 35.1739710 3.521  4.1 Y Y 2 0.000
spec-10267-58223-0670 166.69421 36.6479340 3.815  9.3 Y Y 2 0.000
spec-10267-58223-0838 167.59972 36.1997160 3.647  4.6 N Y 2 0.000
spec-10268-58487-0781 164.40066 34.4395000 3.864  0.0 Y Y 4 0.000
spec-10268-58487-0979 165.17785 33.6276540 3.754  2.9 N Y 2 0.000
spec-10269-58220-0272 164.08844 35.3889230 3.611  1.9 Y Y 2 0.000
spec-10269-58220-0329 163.86229 34.7230700 3.924 16.3 Y Y 1 3.864
spec-10270-58488-0062 163.17229 33.2253340 3.524  7.2 N Y 2 0.000
spec-10270-58488-0141 162.35742 33.0801740 3.650 11.3 Y Y 2 0.000
spec-10270-58488-0693 161.64275 33.8647870 3.842  7.0 Y Y 1 3.577
spec-10270-58488-0760 161.94218 34.4362970 3.899 18.3 Y Y 1 3.657
spec-10270-58488-0781 162.31888 35.2069770 3.767  0.0 Y Y 4 0.000
spec-10271-58497-0564 157.71634 33.6798790 3.599  9.1 Y Y 1 3.457
spec-10271-58497-0816 159.21345 33.3042740 3.573  6.7 N Y 2 0.000
spec-10272-58172-0854 160.39637 35.2174040 3.902  3.6 N Y 1 3.573
spec-10273-58466-0542 154.54428 33.7002090 3.510  4.6 Y Y 1 3.435
spec-10274-58170-0625 155.87682 36.5099190 3.704  4.5 Y Y 1 3.376
spec-10274-58170-0632 155.76828 36.1812950 3.593 11.4 Y Y 2 0.000
spec-10275-58467-0074 181.19647 33.1607660 3.670 10.2 N Y 1 3.492
spec-10276-58225-0371 182.48258 32.6402310 3.803  4.5 N Y 1 3.291
spec-10285-58083-0817 114.12998 28.6768880 3.623 11.3 Y Y 1 3.594
spec-10286-58084-0428 115.13875 27.8808200 3.941  2.8 N Y 1 3.901
spec-10286-58084-0637 115.59752 29.0215680 3.946  6.8 Y Y 1 3.718
spec-10286-58084-0760 116.37229 29.0589020 3.899  4.8 Y Y 1 3.785
spec-10286-58084-0904 117.22790 29.6164840 3.520  6.0 N Y 2 0.000
spec-10287-58101-0936 119.79192 28.5530130 3.594  3.1 N Y 1 3.572
spec-10288-58131-0538 119.79192 28.5530130 3.594  1.2 N Y 2 0.000
spec-10288-58131-0742 121.00702 29.8432420 3.784  4.5 N Y 1 3.697
spec-10288-58131-0812 121.24587 28.6549960 3.971  4.7 N Y 1 3.988
spec-10288-58131-0870 121.41570 29.4297230 3.941  4.4 Y Y 2 0.000
spec-10289-58133-0997 124.89770 28.7933570 3.851  3.4 Y Y 2 0.000
spec-10290-58099-0680 114.57163 31.4370240 3.813  5.0 N Y 2 0.000
spec-10291-58101-0344 117.00683 30.3592950 3.786  5.3 N Y 1 3.412
spec-10292-58113-0054 121.00702 29.8432420 3.785  8.3 Y Y 1 3.714
spec-10292-58113-0338 119.60536 29.9983180 3.672  3.4 N Y 1 3.533
spec-10293-58132-0448 121.00702 29.8432420 3.785  4.3 N Y 1 3.703
spec-10293-58132-0742 122.17358 31.4899040 3.610  2.3 Y Y 2 0.000
spec-10431-58137-0421 131.38594 30.8223410 3.639 13.4 Y Y 1 3.468
spec-10432-58136-0025 149.31134 27.7393430 3.803 16.2 Y Y 1 3.769
spec-10434-58140-0736 134.17379 31.6892190 3.639 21.6 N Y 2 0.000
spec-10438-58142-0656 136.51098 31.7154290 3.542 28.7 Y Y 2 0.000
spec-10442-58141-0086 137.91782 29.1215610 3.604 21.1 Y Y 1 3.454
spec-10442-58141-0544 135.98483 30.7642270 3.646 10.2 Y Y 2 0.000
spec-10446-58133-0647 149.57891 28.3625830 3.579 13.4 Y Y 1 3.309
spec-10448-58158-0670 147.68267 32.0940000 3.518 21.0 Y Y 1 3.406
spec-10449-58137-0612 151.05178 29.3559830 3.700 28.1 Y Y 1 3.575
spec-10452-58138-0630 153.26796 32.2135490 3.745 13.9 N Y 1 3.734
spec-10454-58135-0067 155.32971 29.7232670 3.730 24.7 Y Y 1 3.397
spec-10458-58143-0363 156.11835 27.0839570 3.617  8.3 Y Y 2 0.000
spec-10458-58143-0579 155.71551 28.1425820 3.585 10.2 N Y 1 3.557
spec-10459-58159-0157 157.02220 29.7333230 3.654 12.5 N Y 2 0.000
spec-10459-58159-0947 157.91729 30.8103440 3.588  9.4 N Y 1 3.421
spec-10460-58161-0292 156.49778 30.5753390 3.503  2.3 Y Y 2 0.000
spec-10461-58142-0984 161.21376 24.5640350 3.852 15.8 N Y 1 3.260
spec-10462-58158-0264 159.65227 25.1127940 3.569 13.5 Y Y 1 3.455
spec-10463-58145-0839 159.72202 28.5978680 3.706  5.8 N Y 1 3.633
spec-10464-58155-0663 158.55608 30.9507260 3.955  6.2 Y Y 1 3.825
spec-10471-58132-0621 159.93538 29.9867910 3.587 15.3 Y Y 1 3.461
spec-10471-58132-0766 160.73969 31.0175960 3.559 11.5 N Y 1 3.512
spec-10474-58143-0031 164.60359 26.2933760 3.854  5.9 N Y 1 3.778
spec-10474-58143-0289 163.29996 26.0244030 3.845  3.2 N Y 1 3.808
spec-10475-58137-0823 163.29807 29.8023040 3.796 20.0 Y Y 1 3.435
spec-10475-58137-0885 163.87119 28.8262810 3.722 11.1 N Y 2 0.000
spec-10476-58141-0280 162.88999 29.8553850 3.813 10.6 N Y 1 3.630
spec-10476-58141-0729 162.72490 30.2303030 3.736 15.1 Y Y 1 3.733
spec-10477-58136-0588 162.04297 31.9317040 3.725 18.5 Y Y 1 3.306
spec-10478-58171-0281 165.06483 28.6891610 3.599 10.1 Y Y 2 0.000
spec-10478-58171-0537 163.78644 29.1305940 3.810 10.6 N Y 1 3.541
spec-10654-58429-0356 115.04683 47.7424680 3.611  7.8 Y Y 1 3.546
spec-10656-58163-0411 111.77911 40.5875700 3.851  2.1 N Y 1 3.677
spec-10657-58157-0713 125.47929 29.2613900 3.799  3.3 Y Y 1 3.773
spec-10659-58161-0420 129.62147 27.6427380 3.834  2.6 N Y 1 3.635
spec-10659-58161-0672 130.12696 29.5175790 3.540  9.8 Y Y 1 3.530
spec-10660-58466-0551 131.55342 29.2930940 3.731  6.3 Y Y 2 0.000
spec-10660-58466-0948 134.01537 29.4074210 3.932  4.7 Y Y 2 0.000
spec-10662-58158-0382 123.91536 29.5172900 3.951  3.9 Y Y 2 0.000
spec-10662-58158-0540 123.15100 30.7485540 3.674  8.5 Y Y 1 3.504
spec-10663-58162-0099 127.60504 30.2048380 3.512 12.0 Y Y 2 0.000
spec-10663-58162-0456 125.57496 30.0249590 3.927  1.8 N Y 1 3.762
spec-10663-58162-0820 127.16148 30.9396840 3.523 15.1 Y Y 2 0.000
spec-10664-58464-0083 130.12696 29.5175790 3.539  5.3 N Y 1 3.540
spec-10665-58456-0688 131.42417 31.1715030 3.735  5.2 N Y 1 3.751
spec-10665-58456-0700 131.38594 30.8223410 3.638 16.5 N Y 1 3.453
spec-10665-58456-0991 133.33713 31.0552860 3.752  4.0 Y Y 2 0.000
spec-10666-58440-0281 134.04194 29.6279010 3.842  3.1 N Y 1 3.587
spec-10666-58440-0678 133.50327 31.7225210 3.505  4.0 N Y 1 3.490
spec-10666-58440-0761 134.22333 31.3830640 3.747  3.9 Y Y 1 3.814
spec-10667-58163-0050 137.59880 29.9643330 3.749  1.8 Y Y 2 0.000
spec-10667-58163-0675 136.10183 31.6738640 3.583  2.8 Y Y 1 3.642
spec-10667-58163-0740 136.19378 30.8223710 3.660  3.7 Y Y 1 3.368
spec-10720-58250-0340 252.77108 37.4641830 3.875  2.7 Y Y 1 3.619
spec-10720-58250-0542 252.15509 39.3101330 3.781  2.9 Y Y 2 0.000
spec-10721-58288-0489 255.96285 36.9059720 3.893  1.4 Y Y 2 0.000
spec-10722-58281-0076 256.25747 36.1911130 3.555 15.0 Y Y 1 3.110
spec-10722-58281-0533 253.75093 36.3578280 3.891  4.1 Y Y 2 0.000
spec-10722-58281-0880 255.67816 37.0560250 3.524 14.6 Y Y 2 0.000
spec-10723-58287-0837 261.97096 36.4105460 3.721  5.3 N Y 2 0.000
spec-10724-58391-0501 257.56008 36.0272060 3.834  0.0 Y Y 4 0.000
spec-10724-58391-0521 257.65508 35.9467880 3.821  0.0 Y Y 4 0.000
spec-10724-58391-0527 257.89361 35.7724390 3.601  5.4 Y Y 1 3.467
spec-10724-58391-0569 257.90523 35.6408530 3.836  0.0 Y Y 4 0.000
spec-10724-58391-0573 258.05625 35.4779210 3.868  0.0 Y Y 4 0.000
spec-10724-58391-0600 258.19605 35.9865370 3.958  0.0 Y Y 4 0.000
spec-10724-58391-0607 258.22776 35.6724070 3.966  0.0 Y Y 4 0.000
spec-10724-58391-0613 258.31147 35.4838900 3.835  0.0 Y Y 4 0.000
spec-10725-58250-0352 251.48477 35.9901210 3.690  4.9 N Y 1 3.561
spec-10725-58250-0650 251.15881 36.6599850 3.678 15.5 Y Y 2 0.000
spec-10726-58199-0312 248.58915 36.5615140 3.791 10.6 Y Y 1 3.354
spec-10726-58199-0394 248.25057 36.4846840 3.537 30.0 Y Y 1 3.538
spec-10726-58199-0650 248.44813 37.7431270 3.835  6.9 N Y 1 3.682
spec-10727-58197-0728 244.62065 35.4002960 3.989  1.4 N Y 2 0.000
spec-10727-58197-0937 245.65630 35.2236360 3.515  4.1 N Y 1 3.506
spec-10728-58248-0144 250.98625 38.1356620 3.687  8.2 Y Y 2 0.000
spec-10728-58248-0181 250.91390 38.1545120 3.751  4.3 Y Y 1 3.762
spec-10728-58248-0500 248.81970 38.5954780 3.843  1.3 N Y 2 0.000
spec-10728-58248-0583 249.45121 39.2201830 3.543  0.0 Y Y 4 0.000
spec-10728-58248-0704 249.94929 39.2715610 3.597  0.0 Y Y 4 0.000
spec-10728-58248-0797 250.46599 38.9095000 3.779 16.6 N Y 1 3.532
spec-10729-58248-0270 247.48890 39.2757270 3.671  2.2 Y Y 2 0.000
spec-10729-58248-0282 247.40986 38.0371140 3.774 18.0 Y Y 1 3.749
spec-10729-58248-0342 247.17984 39.1218020 3.758  2.2 N Y 1 3.626
spec-10729-58248-0385 246.85237 38.9183100 3.797  3.2 N Y 1 3.716
spec-10729-58248-0482 245.84372 38.8185720 3.896  1.1 N Y 2 0.000
spec-10731-58247-0442 245.13666 36.0453900 3.766  4.9 Y Y 2 0.000
spec-10731-58247-0465 245.04241 36.6787860 3.539  2.0 Y Y 2 0.000
spec-10734-58280-0764 239.33442 40.2050970 3.533 17.2 Y Y 1 3.528
spec-10734-58280-0974 240.73469 40.1238340 3.538 14.5 Y Y 1 3.563
